NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, TEMPERATURE1, STRESS_XX, STRESS_XY, STRESS_YY, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_YY, STRAIN_ZZ
85, 1.505224809580e-10, 2.255279244112e-14, 2.499999999928e+01, -2.399648908801e-02, -2.162312758279e-05, 7.569537698680e-03, -4.063252455155e-03, -9.976198191453e-12, -2.162312758279e-14, 5.806815201892e-12, -9.579875026148e-15
86, 1.351168929427e-10, -2.438748064445e-14, 2.499999999999e+01, -2.236745198391e-02, 1.640422630557e-05, 5.832720868551e-03, -4.129800866381e-03, -9.117402307368e-12, 1.640422630557e-14, 4.982684118865e-12, 1.423251398849e-15
87, 1.925052524120e-10, 1.667756037065e-14, 2.499999999925e+01, -2.993512905569e-02, 3.606937085712e-05, 1.323346805278e-02, -3.826530737496e-03, -1.295051780547e-11, 3.606937085712e-14, 8.633780748764e-12, 1.037813536242e-13
88, 2.217822266132e-10, 8.388963198073e-14, 2.499999999825e+01, -3.497910226497e-02, 4.286267689698e-05, 1.845896631273e-02, -3.746209664026e-03, -1.554296001591e-11, 4.286267689698e-14, 1.117607427293e-11, 7.348628455671e-14
89, 2.778199118814e-10, 1.104550342366e-12, 2.500000001608e+01, -4.355776433360e-02, -1.810990352838e-03, 2.632854790457e-02, -7.763850087596e-03, -1.859293382585e-11, -1.810990352838e-12, 1.635022229323e-11, -6.959767028513e-13
90, 2.911952542877e-10, -1.478310219814e-13, 2.499999999665e+01, -4.845729482072e-02, 3.366123514654e-04, 3.238580604062e-02, -3.726019413335e-03, -2.240713440853e-11, 3.366123514654e-13, 1.801441602214e-11, -4.149670484041e-14
91, 2.802612493641e-10, 8.868154690550e-14, 2.500000001945e+01, -4.596666856451e-02, 2.354989910845e-04, 2.640224493482e-02, -6.759333402051e-03, -1.960994342940e-11, 2.354989910845e-13, 1.657451332027e-11, -6.275848165694e-15
92, 2.881347595069e-10, -1.266033951295e-12, 2.500000004333e+01, -4.775499499488e-02, 1.786275125806e-03, 2.595065290475e-02, -9.245692555918e-03, -1.916408096847e-11, 1.786275125806e-12, 1.768874298135e-11, 9.057025101133e-14
93, 7.752214194370e-11, 1.087648636798e-14, 2.500000000000e+01, -1.683599966281e-02, -4.442418509838e-06, 2.952816966788e-04, -4.141794522246e-03, -6.349702931382e-12, -4.442418509838e-15, 2.215937748364e-12, -2.600361098534e-15
94, 7.310384729369e-11, -1.979644779817e-14, 2.500000000001e+01, -1.641372482119e-02, 1.033858705464e-06, -1.363846058897e-04, -4.137089743476e-03, -6.137916739902e-12, 1.033858705464e-15, 2.000753367749e-12, 4.007989559660e-16
95, 3.085131613623e-10, -5.597363405340e-13, 2.500000005089e+01, -5.511598459700e-02, 4.182262342153e-04, 3.022350726534e-02, -7.695321030128e-03, -2.266119307819e-11, 4.182262342153e-13, 2.000855285298e-11, 1.049138705246e-12
96, 6.261198239722e-11, 7.934422120684e-16, 2.500000000000e+01, -1.585214050895e-02, 6.944689155277e-07, -7.014782274894e-04, -4.133237506153e-03, -5.857359467766e-12, 6.944689155277e-16, 1.717971672964e-12, 2.092033632552e-15
97, 6.250963574658e-11, 6.614745277387e-15, 2.500000000000e+01, -1.579877043729e-02, -3.537203049620e-06, -7.515359736285e-04, -4.135904558534e-03, -5.830737656116e-12, -3.537203049620e-15, 1.692879575717e-12, 6.952832638752e-16
98, 3.384830733467e-10, -2.798853316264e-13, 2.500000008171e+01, -6.338048414923e-02, 1.919276264144e-03, 3.301975490866e-02, -9.881870070922e-03, -2.466458216513e-11, 1.919276264144e-12, 2.353553736381e-11, 2.084724874019e-12
99, 6.555416232536e-11, -2.162059710549e-14, 2.500000000000e+01, -1.592363831205e-02, 1.475507785903e-06, -6.257791279238e-04, -4.137682475574e-03, -5.893104480810e-12, 1.475507785903e-15, 1.755825111254e-12, -1.265625712630e-16
100, 3.632334671787e-10, 4.195112912278e-12, 2.499999997203e+01, -7.018652201731e-02, -8.917465862572e-03, 4.978525553079e-02, -1.771886831516e-03, -3.330661890845e-11, -8.917465862572e-12, 2.667926986560e-11, 9.006986844503e-13
101, 3.452602903482e-10, 5.633887076423e-13, 2.500000005139e+01, -6.878942057952e-02, -7.865615935163e-04, 3.840555495767e-02, -5.628252632961e-03, -2.892991908754e-11, -7.865615935163e-13, 2.466756868106e-11, 2.650664885742e-12
102, 1.385264214102e-10, -8.829642729260e-15, 2.500000000003e+01, -2.266804035100e-02, -1.351554362447e-05, 6.121769269953e-03, -4.141976763173e-03, -9.264325734731e-12, -1.351554362447e-14, 5.130579075746e-12, -1.293940817484e-15
103, 1.387583245897e-10, -2.581978096647e-16, 2.500000000019e+01, -2.289860716547e-02, 9.269212948428e-06, 6.295730324086e-03, -4.131509466878e-03, -9.369562472778e-12, 9.269212948428e-15, 5.227606272000e-12, 1.398637651855e-14
104, 3.878139198626e-10, 2.576890424279e-13, 2.500000006257e+01, -8.161648921036e-02, -1.399626920793e-03, 4.870741706031e-02, -7.815803175515e-03, -3.432040871101e-11, -1.399626920793e-12, 3.084154442433e-11, 2.579934306412e-12
105, 5.305328055203e-11, -1.083300156066e-14, 2.500000000000e+01, -1.513397023779e-02, 2.318335226606e-06, -1.411984454782e-03, -4.140023526306e-03, -5.498325492578e-12, 2.318335226606e-15, 1.362667398925e-12, -1.352136837146e-15
106, 4.418211720093e-10, 5.997601362821e-12, 2.499999976344e+01, -8.863844125600e-02, -1.180669405111e-02, 1.047154077915e-01, 3.036936744950e-02, -5.769303878760e-11, -1.180669405111e-11, 3.898388573615e-11, 1.810865565150e-12
107, 3.966156036808e-10, 5.259750440606e-13, 2.499999983231e+01, -7.348207813000e-02, -2.453124735246e-03, 7.678726814478e-02, 1.395832456110e-02, -4.390364466454e-11, -2.453124735246e-12, 3.123102847285e-11, -1.834433189944e-13
108, 1.227136712909e-10, -1.866783713014e-14, 2.499999999996e+01, -2.099030445397e-02, -6.564140501357e-06, 4.457044559889e-03, -4.141608791376e-03, -8.428908023078e-12, -6.564140501357e-15, 4.294766483852e-12, -4.560191779914e-15
109, 1.320850856672e-10, -1.742695930621e-14, 2.500000000021e+01, -2.189190109577e-02, -7.558320224494e-06, 5.322881040319e-03, -4.171822737704e-03, -8.863778038042e-12, -7.558320224494e-15, 4.743613030005e-12, -3.738859006331e-15
110, 4.750374302799e-10, -1.336398749525e-11, 2.499999969242e+01, -7.282645886249e-02, 1.896246058374e-02, 1.289176266229e-01, 2.933717151705e-02, -5.667766304632e-11, 1.896246058374e-11, 4.419437969640e-11, -5.595847856545e-12
111, 4.521326543334e-10, 2.251141633158e-11, 2.500000068264e+01, -7.687259270762e-02, -3.775190737122e-02, -6.337460643127e-03, -1.037183437256e-01, 3.674760227513e-12, -3.775190737122e-11, 3.894232625976e-11, -9.748115281490e-12
112, 4.901896553482e-11, 8.683425942735e-15, 2.500000000000e+01, -1.483674854700e-02, -5.036723648427e-06, -1.709606744328e-03, -4.136244340750e-03, -5.350069431703e-12, -5.036723648427e-15, 1.213501469634e-12, 1.826714226250e-16
113, 1.341029145017e-10, 2.792438401224e-14, 2.500000000004e+01, -2.212979373409e-02, -8.309926143020e-06, 5.596920736629e-03, -4.145676136969e-03, -8.995972043219e-12, -8.309926143020e-15, 4.867385192140e-12, -3.913244658949e-15
114, 4.937716749320e-11, -2.852104870621e-15, 2.500000000000e+01, -1.487955966537e-02, -9.189718140087e-07, -1.674023802373e-03, -4.134240797313e-03, -5.371028144259e-12, -9.189718140087e-16, 1.231739787241e-12, 1.631289770586e-15
115, 4.512736560138e-10, -1.831518934137e-11, 2.500000060235e+01, -7.027120370313e-02, 3.420837917488e-02, 1.403521329070e-02, -7.938212946815e-02, -2.126993024877e-12, 3.420837917488e-11, 4.002621547204e-11, -6.682455907387e-12
