#Dirchilet BC  (from fault_mech_LIQUID_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  231
#Node index, name, x, y, z,   value: 
128  PRESSURE1 1.723404255319e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
129  PRESSURE1 1.531914893617e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
130  PRESSURE1 1.340425531915e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
131  PRESSURE1 1.148936170213e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
132  PRESSURE1 9.574468085106e+01 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
133  PRESSURE1 7.659574468085e+01 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
134  PRESSURE1 5.744680851064e+01 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
135  PRESSURE1 3.829787234043e+01 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
136  PRESSURE1 1.914893617021e+01 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
#Source term or Neumann BC  (from fault_mech_LIQUID_FLOW_BC_ST.asc.st file) 
#Total ST nodes  0
#Node index, x, y, z, name    value: 
#STOP
