#Dirchilet BC  (from fault_mech_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  291
#Node index, name, x, y, z,   value: 
8227  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.112103942321e+02 0.000000000000e+00
8231  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.911470653061e+02 0.000000000000e+00
8235  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.710837363802e+02 0.000000000000e+00
8239  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.510204074543e+02 0.000000000000e+00
10094  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.117934372042e+02 0.000000000000e+00
10101  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.941779396475e+02 0.000000000000e+00
10122  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.323895628150e+02 0.000000000000e+00
10129  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.735818140367e+02 0.000000000000e+00
10381  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -8.529856884259e+02 0.000000000000e+00
10707  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.142227030436e+02 0.000000000000e+00
10714  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.089663313676e+03 0.000000000000e+00
10726  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.337161042250e+02 0.000000000000e+00
10736  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.070169912495e+03 0.000000000000e+00
11069  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.532095054064e+02 0.000000000000e+00
11073  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.727029065877e+02 0.000000000000e+00
11077  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.921963077691e+02 0.000000000000e+00
11081  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.011689708950e+03 0.000000000000e+00
11085  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.031183110132e+03 0.000000000000e+00
11089  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.050676511313e+03 0.000000000000e+00
11964  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.189941001427e+03 0.000000000000e+00
11966  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.109469012840e+03 0.000000000000e+00
11989  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.129587009987e+03 0.000000000000e+00
